model,accuracy,precision,recall,f1,roc_auc,average_precision
Always-stay baseline,0.9011111111111111,0.0,0.0,0.0,0.5,0.09888888888888889
Logistic regression,0.9005555555555556,0.4666666666666667,0.03932584269662921,0.07253886010362694,0.7574987184638191,0.2671062006131609
Decision tree,0.8694444444444445,0.1724137931034483,0.08426966292134831,0.11320754716981132,0.6626615774671303,0.16842247135426622
Random forest,0.9011111111111111,0.5,0.0056179775280898875,0.011111111111111112,0.758336912398343,0.25255114226848885
Stacking ensemble,0.8988888888888888,0.16666666666666666,0.0056179775280898875,0.010869565217391304,0.7356121586611065,0.23193328747074585
